Java Processes Log
iteration: 370 ; CPU: 4.71% ; MEM: 780.61 MB
iteration: 371 ; CPU: 4.71% ; MEM: 780.61 MB
iteration: 372 ; CPU: 4.66% ; MEM: 780.61 MB
iteration: 373 ; CPU: 4.66% ; MEM: 780.61 MB
iteration: 374 ; CPU: 4.66% ; MEM: 780.61 MB
iteration: 375 ; CPU: 4.66% ; MEM: 780.61 MB
iteration: 376 ; CPU: 4.66% ; MEM: 780.61 MB
iteration: 377 ; CPU: 4.61% ; MEM: 780.61 MB
iteration: 378 ; CPU: 4.61% ; MEM: 780.61 MB
iteration: 379 ; CPU: 4.61% ; MEM: 780.61 MB
iteration: 380 ; CPU: 4.63% ; MEM: 780.61 MB
iteration: 381 ; CPU: 4.58% ; MEM: 780.61 MB
iteration: 382 ; CPU: 4.60% ; MEM: 780.61 MB
iteration: 383 ; CPU: 4.60% ; MEM: 780.64 MB
iteration: 384 ; CPU: 4.60% ; MEM: 780.64 MB
iteration: 385 ; CPU: 4.56% ; MEM: 780.64 MB
iteration: 386 ; CPU: 4.56% ; MEM: 780.64 MB
iteration: 387 ; CPU: 4.56% ; MEM: 780.64 MB
iteration: 388 ; CPU: 4.56% ; MEM: 780.64 MB
iteration: 389 ; CPU: 4.56% ; MEM: 780.64 MB
iteration: 390 ; CPU: 4.53% ; MEM: 780.64 MB
iteration: 391 ; CPU: 4.53% ; MEM: 780.64 MB
iteration: 392 ; CPU: 4.53% ; MEM: 780.64 MB
iteration: 393 ; CPU: 4.55% ; MEM: 780.64 MB
iteration: 394 ; CPU: 4.55% ; MEM: 780.64 MB
iteration: 395 ; CPU: 4.51% ; MEM: 780.64 MB
iteration: 396 ; CPU: 4.51% ; MEM: 780.64 MB
iteration: 397 ; CPU: 4.51% ; MEM: 780.64 MB
iteration: 398 ; CPU: 4.51% ; MEM: 780.64 MB
iteration: 399 ; CPU: 4.50% ; MEM: 780.64 MB
iteration: 400 ; CPU: 4.50% ; MEM: 780.64 MB
iteration: 401 ; CPU: 4.50% ; MEM: 780.64 MB
iteration: 402 ; CPU: 4.50% ; MEM: 780.64 MB
iteration: 403 ; CPU: 4.46% ; MEM: 780.64 MB
iteration: 404 ; CPU: 4.48% ; MEM: 780.64 MB
iteration: 405 ; CPU: 4.48% ; MEM: 780.64 MB
iteration: 406 ; CPU: 4.48% ; MEM: 780.64 MB
iteration: 407 ; CPU: 4.43% ; MEM: 780.64 MB
iteration: 408 ; CPU: 4.43% ; MEM: 780.64 MB
iteration: 409 ; CPU: 4.45% ; MEM: 780.64 MB
iteration: 410 ; CPU: 4.45% ; MEM: 780.64 MB
iteration: 411 ; CPU: 4.40% ; MEM: 780.64 MB
iteration: 412 ; CPU: 4.40% ; MEM: 780.64 MB
iteration: 413 ; CPU: 4.40% ; MEM: 780.64 MB
iteration: 414 ; CPU: 4.41% ; MEM: 780.64 MB
iteration: 415 ; CPU: 4.38% ; MEM: 780.64 MB
iteration: 416 ; CPU: 4.38% ; MEM: 780.64 MB
iteration: 417 ; CPU: 4.38% ; MEM: 780.64 MB
iteration: 418 ; CPU: 4.36% ; MEM: 780.64 MB
iteration: 419 ; CPU: 4.36% ; MEM: 780.64 MB
iteration: 420 ; CPU: 4.36% ; MEM: 780.64 MB
iteration: 421 ; CPU: 4.36% ; MEM: 780.64 MB
iteration: 422 ; CPU: 4.33% ; MEM: 780.64 MB
iteration: 423 ; CPU: 4.33% ; MEM: 780.64 MB
iteration: 424 ; CPU: 4.35% ; MEM: 780.64 MB
iteration: 425 ; CPU: 4.35% ; MEM: 780.64 MB
iteration: 426 ; CPU: 4.30% ; MEM: 780.64 MB
iteration: 427 ; CPU: 4.30% ; MEM: 780.64 MB
iteration: 428 ; CPU: 4.30% ; MEM: 780.64 MB
iteration: 429 ; CPU: 4.30% ; MEM: 780.64 MB
iteration: 430 ; CPU: 4.28% ; MEM: 780.64 MB
iteration: 431 ; CPU: 4.28% ; MEM: 780.64 MB
iteration: 432 ; CPU: 4.28% ; MEM: 780.64 MB
iteration: 433 ; CPU: 4.28% ; MEM: 780.64 MB
iteration: 434 ; CPU: 4.25% ; MEM: 780.64 MB
iteration: 435 ; CPU: 4.25% ; MEM: 780.64 MB
