ROS Processes Log
iteration: 412 ; CPU: 67.25% ; MEM: 1906.15 MB
iteration: 413 ; CPU: 67.01% ; MEM: 1906.15 MB
iteration: 414 ; CPU: 67.01% ; MEM: 1906.15 MB
iteration: 415 ; CPU: 67.21% ; MEM: 1906.15 MB
iteration: 416 ; CPU: 67.21% ; MEM: 1906.15 MB
iteration: 417 ; CPU: 66.98% ; MEM: 1906.15 MB
iteration: 418 ; CPU: 66.98% ; MEM: 1906.15 MB
iteration: 419 ; CPU: 67.18% ; MEM: 1906.15 MB
iteration: 420 ; CPU: 67.20% ; MEM: 1906.15 MB
iteration: 421 ; CPU: 66.93% ; MEM: 1906.15 MB
iteration: 422 ; CPU: 66.95% ; MEM: 1906.15 MB
